zip,city,street_number,street_name,street_type,postdirection,student_id,state
66426,"Fostoria",7429,"COLON","AVE","",107697,"KS"
66683,"Topeka",5199,"","CT","",100424,"KS"
66637,"Topeka",7075,"VISTA VIEW","CT","",104530,"KS"
66667,"Topeka",5139,"CARNELIAN","WAY","",100515,"KS"
66517,"Ogden",1407,"FLOUNDER","CT","",100754,"KS"
66636,"Topeka",9397,"DEL MONTE","ST","",100321,"KS"
66101,"Kansas City",3235,"VENUS","ST","",101757,"KS"
66699,"Topeka",8080,"CALIFORNIA","ST","",101655,"KS"
66625,"Topeka",5902,"DELTA","ST","",103692,"KS"
66083,"Spring Hill",9373,"","ST","",106798,"KS"
66610,"Topeka",,"TERRACE","DR","",105055,"KS"
66612,"Topeka",1734,"MAYFAIR","DR","",105795,"KS"
66618,"Topeka",8024,"HOFFMAN","ST","",105314,"KS"
66610,"Topeka",7276,"MORRELL","ST","",100396,"KS"
66211,"Leawood",6147,"SALMON","ST","",102524,"KS"
66104,"Kansas City",3318,"MERRITT","ST","",104700,"KS"
66667,"Topeka",969,"CARVER","ST","",105599,"KS"
66605,"Topeka",7151,"ROCKWOOD","CT","",104082,"KS"
66282,"Overland Park",7597,"UNNAMED 075","","",107498,"KS"
66604,"Topeka",9010,"INGALLS","ST","",102100,"KS"
66615,"Topeka",956,"INNES","AVE","",103361,"KS"
66111,"Kansas City",2713,"BUENA VISTA","TER","",107993,"KS"
66078,"Princeton",7734,"MILLER","PL","",103897,"KS"
66213,"Overland Park",623,"UNNAMED 075","","",106992,"KS"
66647,"Topeka",1803,"EXCELSIOR","AVE","",104966,"KS"
66667,"Topeka",6349,"LINCOLN","BLVD","",100257,"KS"
66104,"Kansas City",1894,"FRATESSA","CT","",100547,"KS"
66015,"Colony",4557,"ALHAMBRA","ST","",106777,"KS"
66636,"Topeka",6698,"HWY 101 NORTHBOUND","RAMP","",101099,"KS"
66207,"Overland Park",4429,"BROMLEY","PL","",106937,"KS"
66652,"Topeka",8620,"SUNGLOW","LN","",102914,"KS"
66094,"White Cloud",8922,"UNNAMED 115","","",104269,"KS"
66618,"Topeka",2383,"TOWNSEND","ST","",106616,"KS"
66605,"Topeka",3391,"EDGEWOOD","AVE","",104561,"KS"
66675,"Topeka",3184,"PIERCE","ST","",106132,"KS"
66618,"Topeka",7693,"MCLAREN LODGE ACCESS","RD","",107391,"KS"
66402,"Auburn",3660,"COLLEEN","WAY","",106891,"KS"
66023,"Effingham",7428,"SILVER","AVE","",101642,"KS"
66610,"Topeka",1666,"EL POLIN","LOOP","",105091,"KS"
66615,"Topeka",7929,"ANGELOS","ALY","",101822,"KS"
66647,"Topeka",7680,"TUBBS","ST","",106996,"KS"
66622,"Topeka",4195,"SADOWA","ST","",102173,"KS"
66604,"Topeka",8293,"BEDFORD","PL","",103795,"KS"
66606,"Topeka",7680,"LINCOLN","WAY","",104353,"KS"
66616,"Topeka",1250,"LYSETTE","ST","",104435,"KS"
66776,"Thayer",9163,"LAUSSAT","ST","",101301,"KS"
66611,"Topeka",107,"ALHAMBRA","ST","",102000,"KS"
66620,"Topeka",1431,"LANGTON","ST","",102019,"KS"
66683,"Topeka",9676,"LEAVENWORTH","ST","",104456,"KS"
66160,"Kansas City",4249,"TREAT","WAY","",103035,"KS"
66637,"Topeka",4087,"DELANCEY","ST","",105127,"KS"
66603,"Topeka",6781,"GRAYSTONE","TER","",100848,"KS"
66609,"Topeka",3004,"OLIVE","ST","",101418,"KS"
66102,"Kansas City",8082,"39TH","AVE","",104781,"KS"
66611,"Topeka",7870,"UNNAMED 153","","",107456,"KS"
66699,"Topeka",7006,"DOUBLE ROCK","ST","",104091,"KS"
66606,"Topeka",8514,"HICKORY","ST","",104017,"KS"
66637,"Topeka",1884,"MALDEN","ALY","",101069,"KS"
66609,"Topeka",4569,"CARD","ALY","",102333,"KS"
66225,"Overland Park",4210,"SAN FELIPE","AVE","",101196,"KS"
66619,"Topeka",5256,"MARY","ST","",105839,"KS"
66119,"Kansas City",2356,"DORCHESTER","WAY","",103524,"KS"
66629,"Topeka",852,"LINDA","ST","",105215,"KS"
66620,"Topeka",4944,"RALSTON","ST","",100649,"KS"
66617,"Topeka",520,"CLEARFIELD","DR","",101136,"KS"
66518,"Oketo",8776,"GAVIOTA","WAY","",106694,"KS"
66016,"Cummings",67,"CLINTON","PARK","",106712,"KS"
66282,"Overland Park",2195,"TACOMA","ST","",107448,"KS"
66667,"Topeka",2095,"WASHINGTON","BLVD","",106886,"KS"
66833,"Allen",589,"UNNAMED 185","","",107046,"KS"
66628,"Topeka",4879,"DONNER","AVE","",107306,"KS"
66683,"Topeka",9467,"SPARROW","ST","",104941,"KS"
66683,"Topeka",4524,"YORBA","ST","",107199,"KS"
66607,"Topeka",1264,"CLARION","ALY","",104721,"KS"
66207,"Overland Park",2649,"MONETA","CT","",107943,"KS"
66628,"Topeka",8134,"GETZ","ST","",104214,"KS"
66617,"Topeka",8777,"MULFORD","ALY","",103188,"KS"
66621,"Topeka",464,"36TH","AVE","",107152,"KS"
66094,"White Cloud",3023,"DIAMOND","ST","",101607,"KS"
66094,"White Cloud",8099,"UNNAMED 142","","",100230,"KS"
66115,"Kansas City",7741,"GLENVIEW","DR","",107589,"KS"
66611,"Topeka",5886,"BELVEDERE","ST","",103269,"KS"
66617,"Topeka",4706,"CIELITO","DR","",107340,"KS"
66608,"Topeka",5092,"FARRAGUT","AVE","",106924,"KS"
66620,"Topeka",9225,"SHERMAN","RD","",100232,"KS"
66251,"Overland Park",8802,"TORRENS","CT","",100446,"KS"
66119,"Kansas City",8724,"DECKER","ALY","",107922,"KS"
66609,"Topeka",8938,"VISTA","LN","",104159,"KS"
66604,"Topeka",1359,"HIGHLAND","AVE","",107842,"KS"
66636,"Topeka",4088,"UNNAMED 088","","",103139,"KS"
66111,"Kansas City",676,"BRITTON","ST","",107303,"KS"
66610,"Topeka",4001,"CURTIS","ST","",104206,"KS"
66071,"Paola",1525,"DUBLIN","ST","",106981,"KS"
66106,"Kansas City",9543,"EARL","ST","",105833,"KS"
66636,"Topeka",723,"COLIN P KELLY JR","ST","",106468,"KS"
66625,"Topeka",8990,"ALVORD","ST","",104558,"KS"
66636,"Topeka",9786,"MIDDLE POINT","RD","",104784,"KS"
66606,"Topeka",492,"HARE","ST","",101050,"KS"
66606,"Topeka",8618,"CHENERY","ST","",101385,"KS"
66622,"Topeka",3431,"BRAZIL","AVE","",106765,"KS"
66612,"Topeka",5674,"UNNAMED 021","","",105146,"KS"
66771,"Saint Paul",9559,"HWY 1 TO HWY 101 NORTHBOUND","RAMP","",100698,"KS"
66617,"Topeka",4350,"ERVINE","ST","",107968,"KS"
